USI Project Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Boiler Plate - USI data,,,,,,,,,,,Location Data,,Team Data,,,,,Approvals Overview,,,,,,,,Approvals Details,,,,,,
Job Number,In Toronto? ,Name,client,Client Type,Centroid Coordinates,Longitude,Latitude,address,Project Type,Project Focus,Municipality/Jurisdiction,Ward (Toronto),USI Team Members,Principal in Charge,Project Manager,Project Start Date,Project End Date,Complete/Approval Year,Approval type(s),Approval Status,Residential Units,Affordable Units (%),Affordable Units,Max. Non-Residential GFA,Min. Non-Residential GFA,Density,Height (m),Height (st),Site Area (m2),By-Law  Number,Most Recent Report,NOTES
22023,TRUE,Don Valley ReConnects,Tercot Communities ,Real Estate Developers,"(-79.3267403, 43.7224243)",43.7224243,-79.3267403,"155 St. Dennis Drive, Toronto, Ontario","Master Planning, Development Approvals ",Residential/Mixed Use,Toronto ,16,"Melaie Hare, Craig Lametti, Desi Simova, Harshitha Damodaran",Melanie Hare,Harshitha Damodaran,,,2025,OPA and ZBA Application Refused ,Pending,,,,,,,,,,OLT-23-001278,155 St Dennis Drive – Ontario Land Tribunal Hearing – Request for Directions,went through OLT and approved? but City Council is appealing the process (2025/11/04)
13012,TRUE,The Well,RioCan and Allied Properties REIT,Real Estate Developers,"(-79.3968332, 43.6424009)",43.6424009,-79.3968332,"486 Front Street West, Toronto, Ontario","Master Planning, Approvals",Commercial/Residential/Mixed Use,Toronto ,10,"Dennis Lago, Geoff Whittager, Frank Lewinberg",,,,,2017,OPA and ZBA,Complete,1537,0,0,N/A,65000,9.5,"168, 156.4, 135.4, 80.4, 61.9, 61.9, 55.3","36, 45, 38, 21, 15, 15, 13",31051,"ZBA(124-2017), OPA (125-2017)","440, 444, 450 and 462 Front Street West; 425, 439, 441 and 443 Wellington Street West; 6-18 Spadina Ave. and 1 and 19 Draper Street - Zoning Amendment – Final Report",centroid of area ? get polygon from somewhere or digitze it
18000-10,TRUE,Downsview West District,Canada Lands Company,Federal Crown corporation,"(-79.4793688, 43.7499423)",43.7499423,-79.4793688,"40 Carl Hall Road, Toronto, Ontario","Master Planning, Approvals",Residential/Mixed Use,Toronto ,6,"Michel Trocme, Emily Reisman, Dennis Lago, Samuel Lozeau, Mona Han, Samantha Anderson, Harshitha Damodaran",Emily Reisman,Samantha Anderson,,,,,,,,,,,,,,,IPR,N/A,"still IPR for approval, nothing concrete yet -- may also use 1377 Sheppard as location for by-law or reports"
17050,TRUE,Commerce Court 191 Bay,QuadReal Property Group,Real Estate Developers,"(-79.3798811, 43.6477327)",43.6477327,-79.3798811,"191 Bay Street, Toronto, Ontario",Master Planning ,Commercial/Residential/Mixed Use,Toronto,13,"Frank Lewinberg, Christine Fang-Denissov",Christine Fang Denissov,Kiera McMaster,,,2019,ZBA,Complete,N/A,N/A,N/A,80000,N/A,,286 and 24,65 and 3,,"1626-2019, 1627-2019",Agenda Item History - 2019.MM12.17,find site specific infomation
18078,TRUE,Cloverdale Mall Master Plan,QuadReal Property Group,Real Estate Developers,"(-79.5552916, 43.6305826)",43.6305826,-79.5552916,"250 The East Mall, Toronto, Ontario","Master Planning, Approvals",Commercial/Residential/Mixed Use,Toronto ,3,"Eric Turcotte, Harshitha Damodaran",Benjamin Hoff,Corals Zheng,,,Has not been approved,OPA and ZBA Under Review,Pending,,,,,,,,8 towers (up to 40 storeys),,N/A,Agenda Item History - 2021.EY23.26,"only had preliminary report and request for community engagement, no approval nor movements since 2021"
20060,TRUE,CF Fairview Mall Intensification,Cadillac Fairview (CF),Real Estate Developers,"(-79.3432322, 43.7778776)",43.7778776,-79.3432322,"1800 Sheppard Avenue East, Toronto, Ontario","Master Planning, Engagement,  Urban Design, Transit-Oriented Development",Commercial/Residential,Toronto ,17,"Eric Turcotte, Leigh McGrath, Mihaly Szabo",Eric Turcotte,Desi Simova,,,2024,OPA,Complete,6200,N/A,N/A,N/A,N/A,2.81,179,14 new buildings from 24-52 storeys,188261,1355-2024,1800 Sheppard Avenue East – Official Plan Amendment – Decision Report – Approval,find centroid of this specific area? as detailed in the attachments on the report for this project
18070,TRUE,Jane Finch Mall Redevelopment,Brad-Jay Investments Ltd.,Real Estate Developers,"(-79.5149534, 43.7565924)",43.7565924,-79.5149534,"1911 Finch Avenue West, Toronto, Ontario","Master Planning, Consultation and Engagement,  Urban Design Guidelines, Development Approvals, Planning Analysis",Commercial/Residential,Toronto ,7,"Craig Lametti, Emily Reisman, Yasmin Afshar",Craig Lametti,Yasmin Afshar,,,2024,OPA and ZBA,Complete,4636,N/A,N/A,N/A,N/A,4.99,"A (138, 148.8), B (145.4, 118.4), C (123.6, 90.7)","A (43, 47), B (45, 36), C (39, 28)",32185,"OPA (611-2024), ZBA (612-2024), ZBA (613-2024)",OPA and ZBA approval report,
22054,TRUE,Bathurst and Bridgman Block,Albar Development Inc. ,Real Estate Developers,"(-79.4147526, 43.6751576)",43.6751576,-79.4147526,"1191 Bathurst Street, Toronto, Ontario","Master Planning, Development Approvals, Engagement",Commercial/Residential,Toronto ,12,"Christine Fang-Denissov, Lauren Haein An, Christie Chin",,,,,2024,ZBA,Complete,,,,,,10.6,"242.4, 228.7, 188, 49.9","70, 64, 55, 12",18240,,Bathurst & Bridgman Block - Urban Strategies,"no further information about future developments -- no ZBA, no OPA, nothing"
21079,TRUE,Quayside,Quayside Impact Limited Partnership,Real Estate Developers,"(-79.3632410, 43.6466171)",43.6466171,-79.3632410,"259 Lake Shore Boulevard, Toronto, Ontario","Master Planning, Approvals, Engagement,  Urban Design",Waterfront,Toronto ,10,"Benjamin Hoff, Anne Benaroya, Dennis Lago, Inger Squires",Benjamin Hoff,Anne Benaroya,,,2024,ZBA,Complete,2811,16.29,458,N/A,N/A,10.62,231,"70, 64, 55, 12",18240,852-2024,"257-259 and 291 Lake Shore Blvd E, 2 Small Street and 200 Queens Quay E (Quayside Blocks 1 & 2) – Zoning By-law Amendment Application – Decision Report – Approval","supposedly there is a 333 lake shore planning approval document -- currently nonexistent, but everything else for "
21079,TRUE,Quayside,Quayside Impact Limited Partnership,Real Estate Developers,"(-79.3597922, 43.6469674)",43.6469674,-79.3597922,"333 Lake Shore Boulevard, Toronto, Ontario","Master Planning, Approvals, Engagement,  Urban Design",Waterfront,Toronto ,10,"Benjamin Hoff, Anne Benaroya, Dennis Lago, Inger Squires",Benjamin Hoff,Anne Benaroya,,,,,,,,,,,,,,,N/A,"257-259 and 291 Lake Shore Blvd E, 2 Small Street and 200 Queens Quay E (Quayside Blocks 1 & 2) – Zoning By-law Amendment Application – Decision Report – Approval","supposedly there is a 333 lake shore planning approval document -- currently nonexistent, but everything else for "
